country,cover,director,genre,mark,playable,rank,rater,release_date,starring,title
英国 美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg,导演: Alfonso Cuarón,奇幻 冒险,8.9,[不可播放],83,746867人评价,2004,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...,哈利·波特与阿兹卡班的囚徒
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,导演: 格斯·范·桑特 Gus Van Sant,剧情,8.9,[不可播放],84,725984人评价,1997,主演: 马特·达蒙 Matt Damon / 罗宾·...,心灵捕手
美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,导演: 托尼·凯耶 Tony Kaye,剧情,9.0,[不可播放],85,615583人评价,2011,主演: 艾德里安·布洛迪 Adrien Brody / 马西...,超脱
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,导演: 路易·西霍尤斯 Louie Psihoyos,纪录片,9.3,[不可播放],86,360535人评价,2009,主演: 路易·西霍尤斯 Louie Psihoyo...,海豚湾
美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,剧情 喜剧 犯罪,8.9,[不可播放],87,847724人评价,1994,主演: 约翰·特拉沃尔塔 John Tra...,低俗小说
中国香港 日本 韩国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,导演: 王家卫 Kar Wai Wong,剧情 爱情 同性,9.0,[不可播放],88,641537人评价,1997,主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,春光乍泄
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,导演: 查理·卓别林 Charles Chaplin,剧情 喜剧 爱情,9.3,[不可播放],89,306621人评价,1936,主演: 查理·卓别林 Charles Chaplin ...,摩登时代
美国 意大利,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,导演: 赛尔乔·莱翁内 Sergio Leone,犯罪 剧情,9.2,[不可播放],90,418317人评价,1984,主演: 罗伯特·德尼罗 Robert De Niro ...,美国往事
中国香港,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,喜剧 剧情 爱情,8.8,[不可播放],91,984521人评价,1999,主演: 周星驰 Stephen Ch...,喜剧之王
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,导演: 詹姆斯·曼高德 James Mangold,剧情 悬疑 惊悚,8.9,[不可播放],92,839332人评价,2003,主演: 约翰·库萨克 John Cusack / 雷...,致命ID
韩国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg,导演: 奉俊昊 Joon-ho Bong,剧情 动作 犯罪 悬疑 惊悚,8.9,[不可播放],93,728348人评价,2003,主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,杀人回忆
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg,导演: 大卫·芬奇 David Fincher,剧情 犯罪 悬疑 惊悚,8.8,[不可播放],94,955010人评价,1995,主演: 摩根·弗里曼 Morgan Freeman / 布...,七宗罪
